# VIRUSFlow baseline_relative_response payload
# payload_version: remedy-effective-response-atmosphere-separated-1.0
# response_definition: throughput / normalization
# columns: wavelength_angstrom response uncertainty mask
# uncertainty: NaN because neither legacy input supplied response uncertainty
# mask bits: 1=response_invalid, 2=uncertainty_unavailable
# units: wavelength=Angstrom; response=1; uncertainty=1; mask=bit field
# provenance: legacy Remedy effective response with modeled atmosphere removed
# throughput_sha256: 6a6715e048dbc7d8ef709f371b2bdf2b0f7bf0fc2c063134b184d9494c9f141a
# normalization_sha256: c8c3eee4b89e1a688e9c438e451b5e63d8c961e860cb00c0e40ab4cdd0770c23
# method_identity: legacy-remedy-effective-response; exact curve-producing release unknown
# applicability: legacy Remedy reference epoch unspecified; five-pixel fractional aperture
# applicability: no fitted detector PSF; gap-sampled smooth scattered-light correction
# atmospheric_content: removed_with_model
# construction_extinction_model: mcdonald_extinction.dat
# construction_airmass: 1.22
# construction_airmass_basis: HET fixed altitude
# source_baseline: legacy Remedy throughput / normalization
# scientific_claim: atmosphere-separated empirical relative response, not absolute flux calibration
3470.0 0.071017774281840321 nan 2
3472.0 0.071935803185396066 nan 2
3474.0 0.072844905814907504 nan 2
3476.0 0.073745250796923317 nan 2
3478.0 0.074637002966619292 nan 2
3480.0 0.075520323476938753 nan 2
3482.0 0.076395369904018212 nan 2
3484.0 0.077262296349045384 nan 2
3486.0 0.078121253536690013 nan 2
3488.0 0.078972388910241206 nan 2
3490.0 0.079815846723580386 nan 2
3492.0 0.080651768130111351 nan 2
3494.0 0.081480291268765936 nan 2
3496.0 0.082301551347195856 nan 2
3498.0 0.083115680722259236 nan 2
3500.0 0.083922808977903052 nan 2
3502.0 0.084698314695521304 nan 2
3504.0 0.085466614160724444 nan 2
3506.0 0.086227835089222757 nan 2
3508.0 0.08698210256850103 nan 2
3510.0 0.087729539127710143 nan 2
3512.0 0.088470264805369125 nan 2
3514.0 0.08920439721495832 nan 2
3516.0 0.089932051608479446 nan 2
3518.0 0.090653340938056423 nan 2
3520.0 0.09136837591564774 nan 2
3522.0 0.092077265070937317 nan 2
3524.0 0.092780114807468964 nan 2
3526.0 0.093477029457087121 nan 2
3528.0 0.094168111332742624 nan 2
3530.0 0.094853460779721746 nan 2
3532.0 0.095533176225353053 nan 2
3534.0 0.096207354227245093 nan 2
3536.0 0.096876089520105721 nan 2
3538.0 0.097539475061191691 nan 2
3540.0 0.098197602074435827 nan 2
3542.0 0.098850560093296055 nan 2
3544.0 0.099498437002370793 nan 2
3546.0 0.10014131907782102 nan 2
3548.0 0.1007792910266402 nan 2
3550.0 0.10141243602481001 nan 2
3552.0 0.10204083575437918 nan 2
3554.0 0.1026645704395009 nan 2
3556.0 0.10328371888146365 nan 2
3558.0 0.10389835849274756 nan 2
3560.0 0.10450856533013962 nan 2
3562.0 0.1051144141269366 nan 2
3564.0 0.10571597832426677 nan 2
3566.0 0.10631333010155791 nan 2
3568.0 0.10690654040617958 nan 2
3570.0 0.10749567898228529 nan 2
3572.0 0.10808081439888134 nan 2
3574.0 0.10866201407714524 nan 2
3576.0 0.10923934431701894 nan 2
3578.0 0.10981287032309833 nan 2
3580.0 0.1103826562298422 nan 2
3582.0 0.11094876512612072 nan 2
3584.0 0.11151125907912533 nan 2
3586.0 0.11207019915765815 nan 2
3588.0 0.11262564545482165 nan 2
3590.0 0.11317765711012544 nan 2
3592.0 0.11372629233102957 nan 2
3594.0 0.11427160841393981 nan 2
3596.0 0.11481366176467298 nan 2
3598.0 0.11535250791840734 nan 2
3600.0 0.11588820155913415 nan 2
3602.0 0.11643649550327874 nan 2
3604.0 0.11698188876682637 nan 2
3606.0 0.11752443241021507 nan 2
3608.0 0.11806417674324556 nan 2
3610.0 0.11860117134174758 nan 2
3612.0 0.11913546506384352 nan 2
3614.0 0.11966710606582015 nan 2
3616.0 0.12019614181762062 nan 2
3618.0 0.12072261911796786 nan 2
3620.0 0.1212465841091292 nan 2
3622.0 0.12176808229133389 nan 2
3624.0 0.12228715853685242 nan 2
3626.0 0.12280385710374772 nan 2
3628.0 0.12331822164930833 nan 2
3630.0 0.12383029524317107 nan 2
3632.0 0.12434012038014396 nan 2
3634.0 0.12484773899273607 nan 2
3636.0 0.12535319246340426 nan 2
3638.0 0.12585676727695308 nan 2
3640.0 0.12635998215548758 nan 2
3642.0 0.12680310226167063 nan 2
3644.0 0.12724658578214421 nan 2
3646.0 0.12769047599088612 nan 2
3648.0 0.12813481591596121 nan 2
3650.0 0.12857964835509533 nan 2
3652.0 0.1290250158909759 nan 2
3654.0 0.12947096090629209 nan 2
3656.0 0.1299175255985279 nan 2
3658.0 0.13036475199451966 nan 2
3660.0 0.13081268196479157 nan 2
3662.0 0.13126135723767976 nan 2
3664.0 0.13171081941325719 nan 2
3666.0 0.13216110997706954 nan 2
3668.0 0.13261227031369469 nan 2
3670.0 0.13306434172013418 nan 2
3672.0 0.13351736541904852 nan 2
3674.0 0.13397138257184588 nan 2
3676.0 0.13442643429163362 nan 2
3678.0 0.13488256165604301 nan 2
3680.0 0.13533980571993592 nan 2
3682.0 0.13579820752800231 nan 2
3684.0 0.13625780812725888 nan 2
3686.0 0.13671864857945584 nan 2
3688.0 0.13718076997340209 nan 2
3690.0 0.13764421343721606 nan 2
3692.0 0.13810902015051144 nan 2
3694.0 0.13857523135652561 nan 2
3696.0 0.13904288837419854 nan 2
3698.0 0.13951203261021108 nan 2
3700.0 0.13998270557098952 nan 2
3702.0 0.14050861938162848 nan 2
3704.0 0.14103652799304281 nan 2
3706.0 0.14156647539492218 nan 2
3708.0 0.14209850579037228 nan 2
3710.0 0.14263266360823532 nan 2
3712.0 0.14316899351545156 nan 2
3714.0 0.14370754042946871 nan 2
3716.0 0.14424834953070581 nan 2
3718.0 0.14479146627508091 nan 2
3720.0 0.14533693640660825 nan 2
3722.0 0.14588446755701787 nan 2
3724.0 0.14643206590845226 nan 2
3726.0 0.1469794147409838 nan 2
3728.0 0.14752653461169563 nan 2
3730.0 0.14807344601345893 nan 2
3732.0 0.14862016937740818 nan 2
3734.0 0.14916672507539699 nan 2
3736.0 0.14971313342243653 nan 2
3738.0 0.15025941467911641 nan 2
3740.0 0.15080558905400876 nan 2
3742.0 0.15127010756541293 nan 2
3744.0 0.15173478288362119 nan 2
3746.0 0.15219963184238464 nan 2
3748.0 0.15266467125387154 nan 2
3750.0 0.1531299179105913 nan 2
3752.0 0.15359538858730967 nan 2
3754.0 0.15406110004295581 nan 2
3756.0 0.15452706902252225 nan 2
3758.0 0.15499331225895702 nan 2
3760.0 0.15545984647504993 nan 2
3762.0 0.15592668838531198 nan 2
3764.0 0.15639385469784936 nan 2
3766.0 0.15686136211623225 nan 2
3768.0 0.15732922734135837 nan 2
3770.0 0.15779746707331271 nan 2
3772.0 0.15826609801322297 nan 2
3774.0 0.15873513686511129 nan 2
3776.0 0.1592046003377435 nan 2
3778.0 0.15967450514647522 nan 2
3780.0 0.16014486801509611 nan 2
3782.0 0.160615705677672 nan 2
3784.0 0.16108703488038614 nan 2
3786.0 0.16155887238337918 nan 2
3788.0 0.16203123496258875 nan 2
3790.0 0.16250413941158934 nan 2
3792.0 0.16297760254343199 nan 2
3794.0 0.16345164119248526 nan 2
3796.0 0.16392627221627734 nan 2
3798.0 0.16440151249733953 nan 2
3800.0 0.16487737894505239 nan 2
3802.0 0.16533902499123787 nan 2
3804.0 0.16580124666603852 nan 2
3806.0 0.1662638654169776 nan 2
3808.0 0.16672572112335843 nan 2
3810.0 0.16718662329618378 nan 2
3812.0 0.16764657629534679 nan 2
3814.0 0.16810558446691684 nan 2
3816.0 0.16856365214322266 nan 2
3818.0 0.16902078364293421 nan 2
3820.0 0.16947698327114541 nan 2
3822.0 0.16993225531945511 nan 2
3824.0 0.17038660406604847 nan 2
3826.0 0.17084003377577825 nan 2
3828.0 0.17129254870024457 nan 2
3830.0 0.17174415307787552 nan 2
3832.0 0.1721948511340064 nan 2
3834.0 0.17264464708095939 nan 2
3836.0 0.17309354511812236 nan 2
3838.0 0.17354154943202732 nan 2
3840.0 0.17398866419642869 nan 2
3842.0 0.17434450300266191 nan 2
3844.0 0.17469965605254195 nan 2
3846.0 0.17505412671732656 nan 2
3848.0 0.17540791835835798 nan 2
3850.0 0.17576103432712584 nan 2
3852.0 0.17611347796532859 nan 2
3854.0 0.17646525260493542 nan 2
3856.0 0.17681636156824787 nan 2
3858.0 0.17716680816796063 nan 2
3860.0 0.17751659570722253 nan 2
3862.0 0.17786572747969753 nan 2
3864.0 0.17821420676962432 nan 2
3866.0 0.17856203685187727 nan 2
3868.0 0.17890922099202544 nan 2
3870.0 0.17925576244639291 nan 2
3872.0 0.17960166446211734 nan 2
3874.0 0.1799469302772097 nan 2
3876.0 0.18029156312061248 nan 2
3878.0 0.18063556621225885 nan 2
3880.0 0.18097894276313023 nan 2
3882.0 0.18132169597531508 nan 2
3884.0 0.18166382904206613 nan 2
3886.0 0.18200534514785835 nan 2
3888.0 0.18234624746844599 nan 2
3890.0 0.18268615255872533 nan 2
3892.0 0.18302273767978564 nan 2
3894.0 0.18335560364566975 nan 2
3896.0 0.18368473752706926 nan 2
3898.0 0.18401012673982459 nan 2
3900.0 0.18433175904667634 nan 2
3902.0 0.18461227938358996 nan 2
3904.0 0.18488889991331206 nan 2
3906.0 0.185161611785889 nan 2
3908.0 0.18543040651228074 nan 2
3910.0 0.18569527596534244 nan 2
3912.0 0.1859562123807211 nan 2
3914.0 0.18621320835766855 nan 2
3916.0 0.18646625685977042 nan 2
3918.0 0.18671535121559008 nan 2
3920.0 0.18696048511922889 nan 2
3922.0 0.18720165263080149 nan 2
3924.0 0.18743884817682679 nan 2
3926.0 0.18767206655053459 nan 2
3928.0 0.18790130291208787 nan 2
3930.0 0.18812655278872081 nan 2
3932.0 0.1883478120747927 nan 2
3934.0 0.18856507703175826 nan 2
3936.0 0.18877834428805382 nan 2
3938.0 0.18898761083890042 nan 2
3940.0 0.18919287404602378 nan 2
3942.0 0.18930919596669885 nan 2
3944.0 0.18942179139123846 nan 2
3946.0 0.18953066187878514 nan 2
3948.0 0.1896358093219162 nan 2
3950.0 0.18973723594556263 nan 2
3952.0 0.18983494430585515 nan 2
3954.0 0.18992893728889818 nan 2
3956.0 0.19001921810947364 nan 2
3958.0 0.19010579030967309 nan 2
3960.0 0.19018865775746163 nan 2
3962.0 0.19026782464517131 nan 2
3964.0 0.19034329548792722 nan 2
3966.0 0.19041507512200589 nan 2
3968.0 0.19048316870312698 nan 2
3970.0 0.19054758170467898 nan 2
3972.0 0.19060831991588026 nan 2
3974.0 0.19066603147181041 nan 2
3976.0 0.19072457270319329 nan 2
3978.0 0.19078458644227131 nan 2
3980.0 0.19084607334181025 nan 2
3982.0 0.19090903415531468 nan 2
3984.0 0.19097346973679419 nan 2
3986.0 0.19103938104054857 nan 2
3988.0 0.19110676912097185 nan 2
3990.0 0.19117563513237432 nan 2
3992.0 0.19124598032882328 nan 2
3994.0 0.19131780606400212 nan 2
3996.0 0.19139111379108747 nan 2
3998.0 0.19146590506264369 nan 2
4000.0 0.19154218153053668 nan 2
4002.0 0.19168885832478799 nan 2
4004.0 0.1918371057145711 nan 2
4006.0 0.19198692729793937 nan 2
4008.0 0.19213832677620069 nan 2
4010.0 0.19229130795410165 nan 2
4012.0 0.19244587474002731 nan 2
4014.0 0.19260203114622082 nan 2
4016.0 0.19275978128901941 nan 2
4018.0 0.19291912938910838 nan 2
4020.0 0.19308007977179317 nan 2
4022.0 0.19324263686728874 nan 2
4024.0 0.19340680521102685 nan 2
4026.0 0.19357258944398134 nan 2
4028.0 0.19373999431301067 nan 2
4030.0 0.19390902467121895 nan 2
4032.0 0.19407968547833443 nan 2
4034.0 0.19425198180110606 nan 2
4036.0 0.19442591881371815 nan 2
4038.0 0.19460150179822261 nan 2
4040.0 0.19477873614499006 nan 2
4042.0 0.19487078057935112 nan 2
4044.0 0.19496467792672451 nan 2
4046.0 0.19506043053281177 nan 2
4048.0 0.19515804087044517 nan 2
4050.0 0.19525751153971588 nan 2
4052.0 0.19535884526812489 nan 2
4054.0 0.19546204491075553 nan 2
4056.0 0.19556711345046879 nan 2
4058.0 0.19567360317833965 nan 2
4060.0 0.19577881092983895 nan 2
4062.0 0.19588228542742939 nan 2
4064.0 0.19598402611959537 nan 2
4066.0 0.19608403252480777 nan 2
4068.0 0.19618230423148639 nan 2
4070.0 0.1962788408979543 nan 2
4072.0 0.19637364225238593 nan 2
4074.0 0.19646670809274844 nan 2
4076.0 0.19655803828673488 nan 2
4078.0 0.19664763277169203 nan 2
4080.0 0.19673549155453982 nan 2
4082.0 0.19682161471168488 nan 2
4084.0 0.19690600238892686 nan 2
4086.0 0.19698865480135735 nan 2
4088.0 0.19706957223325328 nan 2
4090.0 0.197148755037962 nan 2
4092.0 0.19722620363778082 nan 2
4094.0 0.19730191852382889 nan 2
4096.0 0.19737590025591317 nan 2
4098.0 0.19744814946238709 nan 2
4100.0 0.1975186668400028 nan 2
4102.0 0.1976185385942433 nan 2
4104.0 0.19771670610907086 nan 2
4106.0 0.19781316947490185 nan 2
4108.0 0.19790792885024919 nan 2
4110.0 0.1980009844615945 nan 2
4112.0 0.1980923366032552 nan 2
4114.0 0.19818198563724371 nan 2
4116.0 0.19826993199312135 nan 2
4118.0 0.19835617616784471 nan 2
4120.0 0.19844071872560659 nan 2
4122.0 0.19852356029766968 nan 2
4124.0 0.19860470158219437 nan 2
4126.0 0.19868414334406048 nan 2
4128.0 0.19876188641468212 nan 2
4130.0 0.19883793169181688 nan 2
4132.0 0.19891228013936826 nan 2
4134.0 0.19898493278718307 nan 2
4136.0 0.19905589073084101 nan 2
4138.0 0.19912515513144036 nan 2
4140.0 0.19919272721537559 nan 2
4142.0 0.19918769438909903 nan 2
